Airport_A,Airport_B,Count,Month,A_IATA,A_Name,A_City,A_State,A_Country,A_Elevation,A_Lat,A_Lon,A_TZ,B_IATA,B_Name,B_City,B_State,B_Country,B_Elevation,B_Lat,B_Lon,B_TZ
KBTF,KMSP,88,2025-09,BTF,Skypark Airport,Bountiful,Utah,US,4234,40.8694000244,-111.927001953,America/Denver,MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,Minnesota,US,841,44.8819999695,-93.2218017578,America/Chicago
KATL,KSLC,316,2025-09,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,Georgia,US,1026,33.6366996765,-84.4281005859,America/New_York,SLC,Salt Lake City International Airport,Salt Lake City,Utah,US,4227,40.7883987427,-111.9779968262,America/Denver
KNZY,KSLC,213,2025-09,NZY,North Island Naval Air Station-Halsey Field,San Diego,California,US,26,32.69919968,-117.2149963,America/Los_Angeles,SLC,Salt Lake City International Airport,Salt Lake City,Utah,US,4227,40.7883987427,-111.9779968262,America/Denver
KLGA,KMSP,342,2025-09,LGA,La Guardia Airport,New York,New York,US,21,40.77719879,-73.87259674,America/New_York,MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,Minnesota,US,841,44.8819999695,-93.2218017578,America/Chicago
KATL,KBTF,165,2025-09,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,Georgia,US,1026,33.6366996765,-84.4281005859,America/New_York,BTF,Skypark Airport,Bountiful,Utah,US,4234,40.8694000244,-111.927001953,America/Denver
KLAS,KSLC,218,2025-09,LAS,Harry Reid International Airport,Las Vegas,Nevada,US,2181,36.08010101,-115.1520004,America/Los_Angeles,SLC,Salt Lake City International Airport,Salt Lake City,Utah,US,4227,40.7883987427,-111.9779968262,America/Denver
KMSP,KSLC,184,2025-09,MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,Minnesota,US,841,44.8819999695,-93.2218017578,America/Chicago,SLC,Salt Lake City International Airport,Salt Lake City,Utah,US,4227,40.7883987427,-111.9779968262,America/Denver
KBFI,KDTW,250,2025-09,BFI,Boeing Field King County International Airport,Seattle,Washington,US,21,47.5299987793,-122.3020019531,America/Los_Angeles,DTW,Detroit Metropolitan Wayne County Airport,Detroit,Michigan,US,645,42.2123985291,-83.3534011841,America/Detroit
KCLT,KDAB,265,2025-09,CLT,Charlotte Douglas International Airport,Charlotte,North Carolina,US,748,35.2140007019,-80.9430999756,America/New_York,DAB,Daytona Beach International Airport,Daytona Beach,Florida,US,34,29.1798992157,-81.0580978394,America/New_York
KSLC,LFPG,31,2025-09,SLC,Salt Lake City International Airport,Salt Lake City,Utah,US,4227,40.7883987427,-111.9779968262,America/Denver,CDG,Charles de Gaulle International Airport,Paris,Ile-de-France,FR,392,49.0127983093,2.5499999523,Europe/Paris
EGLL,KBOS,475,2025-09,LHR,London Heathrow Airport,London,England,GB,83,51.4706001282,-0.4619410038,Europe/London,BOS,General Edward Lawrence Logan International Airport,Boston,Massachusetts,US,20,42.36429977,-71.00520325,America/New_York
